Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Ariana,Ariana32,08/11/2016,32,0811_1,normal,T2C1,08/11/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0811_1,2.915,NaN,1.693,0.973,0.253,96,0.764,0.164302794,58.65333333,42.36,3.233,28.468
Shakira,Shakira61,03/15/2016,61,0315_1,normal,T1C4,03/16/2016,91.4,1,4,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0316_noobject_1,2.315,1.1335,0.987,0.691,0.076,96.17,-1,0.138561676,29.80333333,10.742,3.359,24.641
JLo,JLo44,08/18/2016,44,0818_1,normal,T2C1,08/18/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0818_1,5.591,1.1054,0.481,0.34,0.105,96.32,0.462,0.128075536,34.64,10.742,5.955,14.803
Madonna,Madonna18,03/25/2016,18,0325_1,normal,T1C1,03/26/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Madonna\OF\databaseFiles\Madonna\OF\0326_4+_3+_2+_1,0.502,1.1014,0.219,0.15,0.098,84.68,0.035,0.038435242,39.61,10.429,0.519,2.322
Barbara,Barbara116,06/03/2015,116,0603_1,normal,T1C1,06/03/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,0.961,1.0628,0.266,0.52,0.104,87.06,-0.155,0.067574758,42.18333333,11.626,0.971,7.525
Christina,Christina43,08/31/2016,43,0831_1,normal,T1C5,08/31/2016,91.4,1,5,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0831_1,2.84,1.0362,0.805,0.754,0.511,95.5,-0.562,-0.009901256,48.66,17.124,2.689,24.603
Shakira,Shakira74,03/17/2016,74,0317_1,normal,T2C7,03/17/2016,91.4,2,7,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0317_6+_5+_4+_3+_2+_1,0.349,1.0244,0.356,0.264,0.274,96.7,0.059,0.001423923,68.06,17.878,0.404,2.095
Winehouse,Winehouse24,11/16/2015,24,1116_1,normal,T1C3,11/16/2015,62,1,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_smallbox_5+_4+_3+_2+_1,1.57,0.9528,0.586,0.329,0.017,97.92,0.321,0.07274571,36.41333333,11.496,1.818,5.967
Barbara,Barbara123,06/05/2015,123,0605_1,normal,T2C1,06/05/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,2.885,0.9463,0.564,-0.004,0.182,93.25,0.111,0.173035864,33.96333333,10.742,3.313,20.455
Daenerys,Daenerys25,02/15/2016,25,0215_1,normal,T1C3,02/15/2016,91.4,1,3,noobject2-tangled,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_noobject_2+_1,2.813,0.9232,0.708,0.385,0.123,97,0.097,0.070183172,26.48666667,10.742,3.039,16.727
Shakira,Shakira64,03/15/2016,64,0315_1,normal,T2C1,03/17/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0317_6+_5+_4+_3+_2+_1,0.477,0.8985,0.33,0.404,0.188,96.7,-0.457,0.150068585,29.65,10.742,0.615,3.628
Barbara,Barbara91,05/26/2015,91,0526_1,normal,T1C5,05/26/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,2.716,0.896,0.461,0.629,0.036,87.38,0.334,0.200741312,42.74,12.195,3.061,12.852
LilKim,LilKim117,12/03/2015,117,1203_1,normal,T2C1,12/03/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1203_6+_5+_4,3.488,0.8368,0.461,0.363,0.136,94.01,0.363,0.045755734,66.20666667,24.886,3.714,14.786
Kesha,Kesha13,11/09/2015,13,1109_1,normal,T2C1,11/09/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1109_4+_3+_2+_1,4.3,0.8201,0.216,0.28,0.041,89.56,0.499,0.111484725,54.35333333,23.397,4.832,11.467
Barbara,Barbara40,05/04/2015,40,0504_2,normal,T1C1,05/04/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\k0504_1,3.725,0.7967,0.462,0.373,0.059,87.86,0.313,0.163744388,27.35,10.742,4.521,13.106
Barbara,Barbara124,06/05/2015,124,0605_1,normal,T2C2,06/05/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,0.816,0.7922,0.441,0.378,0.117,93.25,-0.158,0.174602474,40.43333333,12.195,0.911,5.879
JLo,JLo19,08/08/2016,19,0808_2,normal,T2C3,08/08/2016,62,2,3,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0808_2+_1,1.13,0.7837,1.14,0.776,0.163,99.2,0.383,0.21521502,34.31666667,11.184,1.497,16.546
Barbara,Barbara74,05/21/2015,74,0521_1,normal,T1C1,05/21/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,1.384,0.7836,0.681,0.226,0.343,75.4,-0.277,0.066959614,43.80666667,11.054,1.528,14.754
Erykah,Erykah50,07/21/2015,50,0721_1,normal,T1C3,07/21/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,3.415,0.7702,0.811,0.72,0.121,93.13,0.375,0.135318433,70.38333333,20.655,3.614,14.565
Barbara,Barbara67,05/11/2015,67,0511_1,normal,T1C1,05/11/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,3.846,0.7702,0.238,0.211,0.031,94.05,0.45,0.157055735,37.96333333,11.367,4.153,9.716
JLo,JLo4,08/03/2016,4,0803_1,normal,T2C2,08/03/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0803_2,0.836,0.7655,0.929,0.709,0.132,99.68,-0.053,0.11122513,32.77,10.742,1.213,5.603
Barbara,Barbara75,05/21/2015,75,0521_1,normal,T1C2,05/21/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,0.807,0.7506,0.324,0.161,0.17,75.4,-0.128,-0.019590379,41.98,10.742,0.823,2.77
Erykah,Erykah92,07/28/2015,92,0728_1,normal,T1C8,07/28/2015,90,1,8,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0728_5+_4+_3+_2+_1,0.425,0.7383,0.119,0.163,0.059,90.43,0.03,0.015597291,50.96666667,14.035,0.454,1.669
Winehouse,Winehouse27,11/16/2015,27,1116_1,normal,T2C2,11/16/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,0.969,0.7106,0.598,0.264,0.121,88.66,0.018,0.101107593,28.79,10.742,1.285,9.559
Bjork,Bjork19,03/04/2016,19,0304_1,normal,T2C1,03/04/2016,70,2,1,normal,Z:\Users\MCampbell\Analysis\Bjork\OF\databaseFiles\Bjork\OF\0304_1,3.589,0.6458,0.213,0.341,0.033,90.68,0.477,-0.062029761,35.65666667,10.742,3.576,6.025
Beyonce,Beyonce126,10/30/2015,126,1030_1,normal,T2C1,10/30/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1030_second_3+_2+_1,0.39,0.6262,0.41,0.117,0.117,96.77,-0.316,0.041990666,46.59666667,14.66,0.457,2.334
Aretha,Aretha81,08/03/2015,81,0803_1,normal,T2C3,08/03/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0803_4+_3+_2+_1,0.816,0.6016,0.051,0.066,0.062,89.81,0.422,0.065261266,36.25666667,14.789,0.833,1.869
Barbara,Barbara127,06/10/2015,127,0610_1,normal,T2C5,06/10/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,0.44,0.5692,0.597,0.36,0.08,90.99,-1,0.055991949,38.31666667,12.949,0.467,4.993
Erykah,Erykah52,07/21/2015,52,0721_1,normal,T2C2,07/21/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,3.998,0.5466,0.808,0.749,0.029,93.13,0.282,0.063438956,73.77333333,22.937,4.079,11.774
Barbara,Barbara80,05/21/2015,80,0521_1,normal,T2C4,05/21/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,4.055,0.5428,0.405,-0.271,0.055,75.4,0.233,0.238176886,33.7,12.195,4.914,16.369
Kesha,Kesha4,11/06/2015,4,1106_1,normal,T2C1,11/06/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1106_3+_2+_1,0.94,0.5392,0.262,0.117,0.095,90.84,0.265,0.0272585,32.70666667,10.742,1.02,3.026
Christina,Christina32,08/28/2016,32,0828_1,normal,T2C3,08/28/2016,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0828_bigbox_1,1.064,0.5209,0.776,0.06,0.034,96.7,0.008,0.085904158,48.33,19.847,1.244,14.599
Winehouse,Winehouse37,11/17/2015,37,1117_1,normal,T1C2,11/17/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_2+_1,0.999,0.5207,0.565,0.262,0.157,92.49,-0.238,0.096407883,33.35333333,10.429,1.733,8.128
JLo,JLo41,08/11/2016,41,0811_1,normal,T2C4,08/11/2016,62,2,4,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0811_2,0.294,0.4797,0.612,0.328,0.313,99.04,-0.26,0.102887626,35.37,10.429,0.348,2.735
Daenerys,Daenerys24,02/12/2016,24,0212_1,normal,T1C1,02/12/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0212_2+_1,1.494,0.4784,0.059,0.056,0.08,89.41,0.494,0.090870192,22.06666667,10.742,1.67,3.149
Winehouse,Winehouse20,11/13/2015,20,1113_1,normal,T1C1,11/13/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1113_5+_4+_3+_2,3.087,0.4694,0.49,0.401,0.064,92.94,-1,0.054654706,42.58333333,11.883,3.507,22.111
Fiona,Fiona24,02/26/2016,24,0226_1,normal,T2C1,02/26/2016,70,2,1,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0226_1,2.602,0.4654,0.331,0.302,0.342,71.3,0.507,0.240303258,34.78,10.742,3.465,8.64
Barbara,Barbara70,05/11/2015,70,0511_1,normal,T2C3,05/11/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,2.02,0.4648,0.337,0.337,0.005,94.05,0.136,-0.048737973,28.39666667,10.742,2.001,6.068
JLo,JLo29,08/09/2016,29,0809_1,normal,T2C4,08/09/2016,62,2,4,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0809_1,0.877,0.4634,0.908,0.46,0.107,99.36,0.159,0.272054286,33.93333333,11.883,0.995,7.544
JLo,JLo27,08/09/2016,27,0809_1,normal,T2C2,08/09/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0809_1,13.774,0.4581,0.541,0.265,0.059,99.36,0.481,0.192482706,34.35666667,11.184,14.452,22.238
LilKim,LilKim133,12/05/2015,133,1205_1,normal,T2C2,12/05/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,0.879,0.4564,0.341,0.219,0.285,89.48,-0.199,0.016723088,66.10666667,22.66,1.048,6.404
Kesha,Kesha33,11/13/2015,33,1113_2,normal,T1C1,11/13/2015,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1113_5+_4+_3+_2+_1,1.065,0.4526,0.053,0.02,0.024,95.8,0.502,0.046166026,30.78,9.233,1.13,1.95
Beyonce,Beyonce147,11/02/2015,147,1102_2,normal,T2C7,11/02/2015,91.4,2,7,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1102_5+_4+_2+_1,1.724,0.4431,0.412,0.256,0.098,91.29,0.155,0.122623142,57.17,15.983,1.96,8.534
Christina,Christina48,09/02/2016,48,0902_1,normal,T1C1,09/02/2016,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0902_2+_1,3.62,0.4398,0.399,0.258,0.495,89.11,0.061,0.157993897,30.03333333,12.195,4.187,26.8
LilKim,LilKim132,12/05/2015,132,1205_1,normal,T2C1,12/05/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,1.629,0.4393,0.299,0.271,0.215,89.48,-0.044,0.013740141,50.64333333,11.679,1.616,5.986
JLo,JLo2,08/03/2016,2,0803_1,normal,T2C1,08/04/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0804_4+_2+_1,4.05,0.4337,0.186,0.375,0.048,98.56,0.499,0.146743959,45.97,12.82,4.181,6.519
LilKim,LilKim32,11/11/2015,32,1111_1,normal,T1C3,11/11/2015,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1111_4+_3+_2+_1,2.87,0.4309,0.345,0.308,0.12,81.08,0.379,0.156347948,41.35333333,14.66,3.737,10.898
JLo,JLo14,08/08/2016,14,0808_2,normal,T2C2,08/08/2016,62,2,2,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0808_2+_1,0.166,0.4286,0.711,0.44,0.207,99.2,-0.022,0.125755857,29.73666667,10.742,0.189,1.611
Ariana,Ariana43,08/17/2016,43,0817_1,normal,T1C1,08/17/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0817_4+_3+_2+_1,0.45,0.4261,0.435,0.635,0.834,85.5,-0.251,0.054874153,44.67666667,10.429,0.801,14.963
Daenerys,Daenerys53,02/23/2016,53,0223_1,normal,T2C1,02/23/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0223_3+_2+_1,1.122,0.4144,0.786,0.857,0.188,94.59,0.287,0.022354992,52.58,18.008,1.221,26.075
JLo,JLo3,08/03/2016,3,0803_1,normal,T1C1,08/03/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0803_2,0.711,0.4107,0.692,0.514,0.091,99.68,0.023,0.016030967,34.10666667,11.054,0.862,2.663
Kesha,Kesha37,11/19/2015,37,1119_1,normal,T1C1,11/19/2015,70,1,1,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1119_noobject_smallbox_2+_1,3.009,0.4096,0.617,0.364,0.115,99.23,-0.261,0.113763577,25.99666667,10.742,3.517,17.537
Erykah,Erykah137,08/05/2015,137,0805_2,normal,T2C1,08/05/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0805_6+_5+_4+_3,1.008,0.3858,0.019,0.184,0.064,94.52,0.51,0.283274464,44.25666667,13.519,1.108,3.156
Erykah,Erykah49,07/21/2015,49,0721_1,normal,T1C2,07/21/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,2.825,0.3713,0.583,-0.107,0.076,93.13,-0.019,0.092138937,68.01333333,18.191,2.916,11.964
Christina,Christina30,08/28/2016,30,0828_1,normal,T2C1,08/28/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0828_bigbox_1,0.562,0.3614,0.885,0.31,0.399,96.7,-1,0.078798218,52.39666667,17.124,0.668,12.101
Barbara,Barbara61,05/08/2015,61,0508_1,normal,T2C1,05/08/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0508_3+_2+_1,2.868,0.3613,0.384,0.483,0.058,89.92,-0.198,0.010610193,34.18333333,11.441,2.975,10.901
Winehouse,Winehouse30,11/17/2015,30,1117_1,normal,T1C6,11/17/2015,91.4,1,6,noobject1,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_2+_1,1.131,0.3524,0.33,0.333,0.091,92.49,-0.265,0.065447283,42.47,12.195,1.37,8.163
Winehouse,Winehouse43,11/19/2015,43,1119_1,normal,T2C3,11/19/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1119_5+_4+_3,1.715,0.3392,0.182,0.224,0.115,93.69,0.501,0.096230348,25.47333333,10.742,1.916,5.579
Erykah,Erykah135,08/05/2015,135,0805_2,normal,T1C2,08/05/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0805_6+_5+_4+_3,1.104,0.3388,0.13,0.16,0.05,94.52,0.477,0.28969959,45.04333333,10.429,1.197,2.703
Rihanna,Rihanna8,11/09/2015,8,1109_1,normal,T1C4,11/09/2015,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1109_9+_8+_7+_6+_5+_4+_3+_2+_1,2.959,0.3378,0.519,0.172,0.074,92.04,0.333,0.087108837,39.73666667,11.441,3.613,11.731
Shakira,Shakira81,03/18/2016,81,0318_1,normal,T2C2,03/18/2016,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0318_4+_3+_2+_1,0.842,0.334,0.548,0.547,0.304,95.35,-0.048,0.011975551,43.30666667,17.878,0.903,6.621
JLo,JLo36,08/11/2016,36,0811_1,normal,T1C1,08/11/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0811_2,0.905,0.3315,1.057,0.724,0.099,99.04,-0.05,0.179238833,32.14333333,10.742,1.177,17.919
Winehouse,Winehouse26,11/16/2015,26,1116_1,normal,T2C1,11/16/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,1.007,0.3151,0.488,0.209,0.181,88.66,-0.027,0.133268806,37.21,10.742,1.58,13.552
Erykah,Erykah80,07/24/2015,80,0724_1,normal,T1C6,07/24/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0724_4+_3+_2+_1,0.842,0.3133,0.86,0.771,0.085,92.59,0.555,0.152982018,70.67333333,26.339,0.885,10.447
Beyonce,Beyonce75,10/12/2015,75,1012_1,normal,T1C3,10/12/2015,91.4,1,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1012_6+_5+_4+_3+_2+_1,0.277,0.2992,0.067,0.265,0.205,83.86,0.448,0.102410979,38.02,11.054,0.328,1.129
Beyonce,Beyonce5,09/17/2015,5,0917_1,normal,T2C1,09/17/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\0917_4+_3+_2+_1,4.432,0.2935,0.235,0.226,0.095,97.88,0.486,0.113096664,44.35333333,14.916,4.39,7.337
Barbara,Barbara76,05/21/2015,76,0521_1,normal,T1C3,05/21/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,0.314,0.2902,0.42,0.319,0.281,75.4,0.053,0.110480009,43.62333333,10.742,0.373,4.457
Rihanna,Rihanna6,11/09/2015,6,1109_1,normal,T1C2,11/09/2015,91.4,1,2,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1109_9+_8+_7+_6+_5+_4+_3+_2+_1,1.55,0.2807,0.399,0.219,0.117,92.04,-0.057,0.093550425,34.74666667,10.742,2.18,10.238
Rihanna,Rihanna31,11/12/2015,31,1112_1,normal,T2C5,11/11/2015,91.4,2,5,normal,Z:\Users\MCampbell\Analysis\Rihanna\OF\databaseFiles\Rihanna\OF\1111_3+_2+_1,0.882,0.2705,0.391,0.175,0.058,84.98,0.346,0.1319753,41.33,10.742,1.35,4.976
Barbara,Barbara48,05/05/2015,48,0505_1,normal,T2C3,05/05/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0505_2+_1,5.335,0.2642,0.081,0.074,0.05,75.08,0.498,0.125002349,53.33333333,12.508,5.893,11.538
Barbara,Barbara22,04/29/2015,22,0429_2,normal,T1C3,04/29/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,17.946,0.2618,0.509,0.521,0.101,89.68,0.487,0.365524115,40.16,11.679,20.336,40.909
Beyonce,Beyonce134,10/30/2015,134,1030_2,normal,T2C9,10/30/2015,91.4,2,9,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1030_second_3+_2+_1,0.828,0.2579,0.314,0.511,0.163,96.77,0.541,-0.012519487,55.52333333,33.75,0.793,3.708
Winehouse,Winehouse44,11/19/2015,44,1119_1,normal,T2C6,11/19/2015,91.4,2,6,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1119_5+_4+_3,3.052,0.2576,0.663,0.364,0.171,93.69,-0.337,0.083550246,34.01666667,10.429,3.826,20.801
Barbara,Barbara88,05/26/2015,88,0526_1,normal,T2C3,05/26/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_1,1.835,0.2572,0.364,0.399,0.045,81.67,-0.233,0.074015679,58.3,22.734,2.035,8.888
Beyonce,Beyonce150,11/02/2015,150,1102_1,normal,T2C10,11/02/2015,91.4,2,10,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1102_5+_4+_2+_1,0.543,0.2537,0.216,0.048,0.106,91.29,-0.496,-0.094138209,52.42,10.742,0.492,3.125
LilKim,LilKim51,11/16/2015,51,1116_1,normal,T1C2,11/16/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1116_8+_7+_6,0.5,0.2506,0.503,0.545,0.227,95.72,-0.285,0.013933616,62.16666667,18.135,0.586,4.625
Aretha,Aretha105,08/10/2015,105,0810_1,normal,T2C1,08/10/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0810_4+_3+_2+_1,4.963,0.23,0.448,0.563,0.112,94.44,0.472,0.089723419,70.44,43.204,4.989,11.245
Barbara,Barbara24,04/29/2015,24,0429_2,normal,T2C1,04/29/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,12.637,0.2269,0.428,0.482,0.106,89.68,0.482,0.300280532,54.48666667,13.519,13.357,29.238
LilKim,LilKim53,11/16/2015,53,1116_1,normal,T1C4,11/16/2015,91.4,1,4,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1116_8+_7+_6,1.746,0.2067,0.77,0.72,0.241,95.72,0.695,0.058140741,58.64666667,22.917,2.168,16.419
Daenerys,Daenerys54,02/23/2016,54,0223_1,normal,T2C2,02/23/2016,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0223_3+_2+_1,0.555,0.1893,0.022,0.089,0.021,94.59,0.45,0.023623946,39.11666667,10.742,0.545,1.363
Barbara,Barbara90,05/26/2015,90,0526_1,normal,T1C4,05/26/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,0.925,0.1791,0.501,0.5,0.066,87.38,-0.414,0.186005919,44.64,15.8,1.017,8.462
Kesha,Kesha63,12/02/2015,63,1202_1,normal,T2C1,12/02/2015,91.4,2,1,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1202_noobject_2+_1,2.171,0.1778,0.704,0.627,0.193,94.97,0.44,0.060476635,41.7,15.706,2.309,11.974
Barbara,Barbara56,05/06/2015,56,0506_1,normal,T1C9,05/06/2015,90,1,9,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0506_1,3.8,0.1671,0.31,0.32,0.077,81.03,0.482,-0.037862212,38.64666667,11.054,3.881,8.163
JLo,JLo31,08/09/2016,31,0809_1,normal,T2C6,08/09/2016,62,2,6,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0809_1,0.656,0.1651,0.086,0.19,0.223,99.36,0.515,0.143336649,34.6,13.831,0.756,1.484
Erykah,Erykah90,07/28/2015,90,0728_1,normal,T1C6,07/28/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0728_5+_4+_3+_2+_1,1.291,0.1638,0.559,0.708,0.232,90.43,0.005,0.097390747,75.43666667,21.042,1.281,13.138
LilKim,LilKim22,11/09/2015,22,1109_1,normal,T2C1,11/09/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1109_5+_4+_3+_2+_1,1.928,0.1619,0.257,-0.006,0.094,87.54,-0.068,-0.12528106,41.92,12.195,1.807,5.263
LilKim,LilKim154,12/09/2015,154,1209_1,normal,T1C4,12/09/2015,91.4,1,4,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1209_2,19.522,0.1609,0.42,0.242,0.078,94.52,0.52,-0.035254254,50.5,14.476,19.973,42.742
Erykah,Erykah95,07/30/2015,95,0730_1,normal,T1C3,07/30/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0730_4+_3+_2+_1,0.548,0.1591,0.802,0.755,0.124,95.29,-1,0.033262131,66.68333333,20.472,0.575,8.021
