Mouse,UniqueID,DateVR,CellNum,SessionVR,SessionTypeVR,Cell,DateOF,BoxSize,Tetrode,Cluster,SessionTypeOF,SessionOF,MeanRateOF,GridScore,CoherenceOF,StabilityOF,MVL,Coverage,BorderScore,SpeedScore,FieldSpacingOF,FieldSizeOF,MeanRateOF_SpeedFilt,PeakRateOF
Shakira,Shakira65,03/15/2016,65,0315_1,normal,T2C2,03/15/2016,91.4,2,2,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0315_6+_5+_4+_3+_2+_1,2.995,-0.6479,0.723,0.699,0.273,96.25,0.479,0.169891755,73.27,27.698,3.491,13.109
Ariana,Ariana22,08/05/2016,22,0805_1,normal,T1C2,08/05/2016,62,1,2,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0805_3+_2+_1,17.493,-0.6526,0.97,0.831,0.175,96,0.606,0.209580759,56.73333333,22.401,19.565,35.368
Winehouse,Winehouse15,11/11/2015,15,1111_1,normal,T1C3,11/11/2015,62,1,3,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1111_smallbox_4+_3+_1,2.769,-0.6719,0.492,0.355,0.086,94.17,0.56,0.022800334,41.46,11.883,3.137,12.226
Aretha,Aretha77,08/03/2015,77,0803_2,normal,T1C1,08/03/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0803_4+_3+_2+_1,19.697,-0.6728,0.398,0.463,0.049,89.81,0.484,0.134302287,72.81,22.66,20.354,35.408
Shakira,Shakira17,03/03/2016,17,0303_1,normal,T2C4,03/02/2016,91.4,2,4,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0302_3+_2+_1,1.066,-0.6859,0.35,0.339,0.389,95.8,0.663,-0.193793599,40.81,26.174,1.075,3.576
Aretha,Aretha130,08/13/2015,130,0813_1,normal,T2C3,08/13/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0813_5+_4+_2+_1,2.421,-0.6873,0.278,0.48,0.089,92.52,-0.093,0.038569851,61.14333333,23.12,2.568,8.981
Aretha,Aretha124,08/12/2015,124,0812_2,normal,T2C4,08/12/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0812_4+_3+_2+_1,0.958,-0.6939,0.462,0.629,0.056,96.84,0.583,-0.009263262,63.82666667,33.329,0.962,4.348
Shakira,Shakira85,03/21/2016,85,0321_1,normal,T1C2,03/21/2016,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0321_4+_3+_2+_1,0.989,-0.6939,0.992,0.677,0.471,95.65,0.682,0.126786174,75.21,33.127,1.18,8.114
Ariana,Ariana24,08/08/2016,24,0808_1,normal,T1C1,08/08/2016,62,1,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0808_1,2.272,-0.7101,0.412,0.697,0.046,96,0.439,0.041082994,49.82666667,13.831,2.385,5.503
LilKim,LilKim50,11/16/2015,50,1116_1,normal,T1C1,11/16/2015,91.4,1,1,noobject1,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1116_8+_7+_6,4.966,-0.7161,0.708,0.76,0.023,95.72,0.678,0.154555203,74.49,22.807,4.975,16.509
Beyonce,Beyonce128,11/02/2015,128,1102_2,normal,T2C3,11/02/2015,91.4,2,3,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1102_5+_4+_2+_1,5.768,-0.7297,0.478,0.554,0.055,91.29,0.646,0.105578539,74.635,32.995,6.574,14.842
Kesha,Kesha65,12/02/2015,65,1202_1,normal,T2C3,12/02/2015,91.4,2,3,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1202_noobject_2+_1,4.899,-0.7384,0.716,0.753,0.224,94.97,0.334,0.120082869,55.35666667,31.286,5.417,17.444
Ariana,Ariana27,08/08/2016,27,0808_1,normal,T2C3,08/08/2016,62,2,3,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0808_1,1.653,-0.7529,0.391,0.671,0.053,96,0.405,0.035662396,47.72333333,12.121,1.705,3.804
Christina,Christina18,08/25/2016,18,0825_1,normal,T1C3,08/25/2016,62,1,3,normal,Z:\Users\MCampbell\Analysis\Christina\OF\databaseFiles\Christina\OF\0825_third_1,1.101,-0.7573,0.516,0.482,0.216,95.5,0.535,0.030285242,45.57,24.667,1.216,4.776
Madonna,Madonna12,03/06/2016,12,0306_1,normal,T1C4,03/06/2016,70,1,4,normal,Z:\Users\MCampbell\Analysis\Madonna\OF\databaseFiles\Madonna\OF\0306_2+_1,0.67,-0.7692,0.531,0.644,0.329,93.75,0.508,0.05649922,42.71333333,18.374,0.696,2.035
Bjork,Bjork64,04/21/2016,64,0421_1,normal,T2C1,04/21/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Bjork\OF\databaseFiles\Bjork\OF\0421_5+_4+_3+_2+_1,1.4,-0.7701,0.385,0.486,0.17,92.57,-0.461,0.074188661,71.69666667,30.495,1.463,12.034
Ariana,Ariana25,08/08/2016,25,0808_1,normal,T2C1,08/08/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0808_1,0.903,-0.8366,0.808,0.55,0.065,96,-0.244,0.181822455,46.35333333,20.14,1.085,6.397
Ariana,Ariana39,08/15/2016,39,0815_1,normal,T2C1,08/15/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0815_1,4.42,-0.8855,1.06,0.916,0.115,95.17,0.756,-0.059291483,55.55,25.361,4.463,19.301
Fiona,Fiona41,03/04/2016,41,0304_1,normal,T2C1,03/04/2016,70,2,1,normal,Z:\Users\MCampbell\Analysis\Fiona\OF\databaseFiles\Fiona\OF\0304_3+_2+_1,1.053,-0.8903,0.629,0.382,0.134,95.24,0.676,0.21568925,57.93,19.881,1.355,6.113
Beyonce,Beyonce127,10/30/2015,127,1030_2,normal,T2C2,10/30/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Beyonce\OF\databaseFiles\Beyonce\OF\1030_3+_2+_1,1.775,-0.9261,0.688,0.724,0.13,93.62,0.6,0.193944482,65.72333333,37.154,1.969,14.128
Shakira,Shakira5,03/01/2016,5,0301_1,normal,T1C1,03/01/2016,70,1,1,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0301_1,0.649,-0.9609,0.4,0.37,0.353,99.87,0.429,-0.102737401,40.73666667,24.205,0.516,2.027
Ariana,Ariana32,08/11/2016,32,0811_halfspeed_1,gain_manip,T2C1,08/11/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\Ariana\OF\databaseFiles\Ariana\OF\0811_1,2.915,NaN,1.693,0.973,0.253,96,0.764,0.164302794,58.65333333,42.36,3.233,28.468
Shakira,Shakira61,03/15/2016,61,0315_halfspeed_1,gain_manip,T1C4,03/16/2016,91.4,1,4,noobject2,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0316_noobject_1,2.315,1.1335,0.987,0.691,0.076,96.17,-1,0.138561676,29.80333333,10.742,3.359,24.641
JLo,JLo44,08/18/2016,44,0818_halfspeed_1,gain_manip,T2C1,08/18/2016,62,2,1,normal,Z:\Users\MCampbell\Analysis\JLo\OF\databaseFiles\JLo\OF\0818_1,5.591,1.1054,0.481,0.34,0.105,96.32,0.462,0.128075536,34.64,10.742,5.955,14.803
Barbara,Barbara116,06/03/2015,116,0603_halfspeed_1,gain_manip,T1C1,06/03/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0603_7+_6+_5,0.961,1.0628,0.266,0.52,0.104,87.06,-0.155,0.067574758,42.18333333,11.626,0.971,7.525
Barbara,Barbara123,06/05/2015,123,0605_halfspeed_1,gain_manip,T2C1,06/05/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,2.885,0.9463,0.564,-0.004,0.182,93.25,0.111,0.173035864,33.96333333,10.742,3.313,20.455
Daenerys,Daenerys25,02/15/2016,25,0215_halfspeed_1,gain_manip,T1C3,02/15/2016,91.4,1,3,noobject2-tangled,Z:\Users\MCampbell\Analysis\Daenerys\OF\databaseFiles\Daenerys\OF\0215_noobject_2+_1,2.813,0.9232,0.708,0.385,0.123,97,0.097,0.070183172,26.48666667,10.742,3.039,16.727
Shakira,Shakira64,03/15/2016,64,0315_halfspeed_1,gain_manip,T2C1,03/17/2016,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\Shakira\OF\databaseFiles\Shakira\OF\0317_6+_5+_4+_3+_2+_1,0.477,0.8985,0.33,0.404,0.188,96.7,-0.457,0.150068585,29.65,10.742,0.615,3.628
Barbara,Barbara91,05/26/2015,91,0526_halfspeed_1,gain_manip,T1C5,05/26/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0526_second_4+_3+_2,2.716,0.896,0.461,0.629,0.036,87.38,0.334,0.200741312,42.74,12.195,3.061,12.852
LilKim,LilKim117,12/04/2015,117,1203_halfspeed_1,gain_manip,T2C1,12/03/2015,91.4,2,1,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1203_6+_5+_4,3.488,0.8368,0.461,0.363,0.136,94.01,0.363,0.045755734,66.20666667,24.886,3.714,14.786
Barbara,Barbara124,06/05/2015,124,0605_halfspeed_1,gain_manip,T2C2,06/05/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0605_4+_3+_2+_1,0.816,0.7922,0.441,0.378,0.117,93.25,-0.158,0.174602474,40.43333333,12.195,0.911,5.879
Barbara,Barbara74,05/21/2015,74,0521_halfspeed_1,gain_manip,T1C1,05/21/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,1.384,0.7836,0.681,0.226,0.343,75.4,-0.277,0.066959614,43.80666667,11.054,1.528,14.754
Kesha,Kesha57,11/24/2015,57,1124_halfspeed_1,gain_manip,T2C3,11/24/2015,70,2,3,noobject2,Z:\Users\MCampbell\Analysis\Kesha\OF\databaseFiles\Kesha\OF\1124_smallbox_noobject_2+_1,2.683,0.7738,1.007,0.612,0.246,95.63,-0.03,0.066748296,45.10666667,15.414,3.205,19.874
Erykah,Erykah50,07/21/2015,50,0721_halfspeed_1,gain_manip,T1C3,07/21/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,3.415,0.7702,0.811,0.72,0.121,93.13,0.375,0.135318433,70.38333333,20.655,3.614,14.565
Barbara,Barbara67,05/11/2015,67,0511_halfspeed_1,gain_manip,T1C1,05/11/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,3.846,0.7702,0.238,0.211,0.031,94.05,0.45,0.157055735,37.96333333,11.367,4.153,9.716
Barbara,Barbara75,05/21/2015,75,0521_halfspeed_1,gain_manip,T1C2,05/21/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,0.807,0.7506,0.324,0.161,0.17,75.4,-0.128,-0.019590379,41.98,10.742,0.823,2.77
Winehouse,Winehouse27,11/16/2015,27,1116_halfspeed_1,gain_manip,T2C2,11/16/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1116_7+_6+_5+_4+_3+_2+_1,0.969,0.7106,0.598,0.264,0.121,88.66,0.018,0.101107593,28.79,10.742,1.285,9.559
Aretha,Aretha81,08/03/2015,81,0803_halfspeed_1,gain_manip,T2C3,08/03/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Aretha\OF\databaseFiles\Aretha\OF\0803_4+_3+_2+_1,0.816,0.6016,0.051,0.066,0.062,89.81,0.422,0.065261266,36.25666667,14.789,0.833,1.869
Barbara,Barbara127,06/10/2015,127,0610_halfspeed_1,gain_manip,T2C5,06/10/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0610_4+_3+_2+_1,0.44,0.5692,0.597,0.36,0.08,90.99,-1,0.055991949,38.31666667,12.949,0.467,4.993
Erykah,Erykah52,07/21/2015,52,0721_halfspeed_1,gain_manip,T2C2,07/21/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Erykah\OF\databaseFiles\Erykah\OF\0721_1,3.998,0.5466,0.808,0.749,0.029,93.13,0.282,0.063438956,73.77333333,22.937,4.079,11.774
Barbara,Barbara80,05/21/2015,80,0521_halfspeed_1,gain_manip,T2C4,05/21/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0521_6+_5+_4+_3+_2+_1,4.055,0.5428,0.405,-0.271,0.055,75.4,0.233,0.238176886,33.7,12.195,4.914,16.369
Winehouse,Winehouse37,11/17/2015,37,1117_halfspeed_1,gain_manip,T1C2,11/17/2015,91.4,1,2,noobject1,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1117_2+_1,0.999,0.5207,0.565,0.262,0.157,92.49,-0.238,0.096407883,33.35333333,10.429,1.733,8.128
Barbara,Barbara69,05/11/2015,69,0511_halfspeed_1,gain_manip,T2C2,05/11/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,1.423,0.4708,0.362,0.275,0.022,94.05,-0.306,-0.021418398,28.97333333,10.742,1.423,7.861
Winehouse,Winehouse20,11/12/2015,20,1112_halfspeed_1,gain_manip,T1C4,11/13/2015,91.4,1,1,normal,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1113_5+_4+_3+_2,3.087,0.4694,0.49,0.401,0.064,92.94,-1,0.054654706,42.58333333,11.883,3.507,22.111
Winehouse,Winehouse53,11/21/2015,53,1121_halfspeed_2,gain_manip,T2C3,11/21/2015,70,2,3,noobject1,Z:\Users\MCampbell\Analysis\Winehouse\OF\databaseFiles\Winehouse\OF\1121_noobject1_smallbox_2+_1,1.976,0.4686,0.643,0.574,0.139,98.21,-0.637,0.054134664,40.74,11.054,2.377,13.291
Barbara,Barbara70,05/11/2015,70,0511_halfspeed_1,gain_manip,T2C3,05/11/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0511_5+_4+_3+_2+_1,2.02,0.4648,0.337,0.337,0.005,94.05,0.136,-0.048737973,28.39666667,10.742,2.001,6.068
LilKim,LilKim133,12/05/2015,133,1205_halfspeed_1,gain_manip,T2C2,12/05/2015,91.4,2,2,normal,Z:\Users\MCampbell\Analysis\LilKim\OF\databaseFiles\LilKim\OF\1205_6+_5+_4+_3+_2+_1,0.879,0.4564,0.341,0.219,0.285,89.48,-0.199,0.016723088,66.10666667,22.66,1.048,6.404
